307,306,4912816,0.520
347,346,6273616,0.980
431,430,9672928,3.130
419,418,9142384,2.200
571,570,16969168,8.010
555,554,16032144,7.440
671,670,23428768,15.320
701,700,25569448,18.000
801,800,33381048,29.650
761,760,30131608,25.620
843,842,36972048,35.560
871,870,39467968,40.050
905,904,42608344,46.710
913,912,43364728,48.400
1011,1010,53170608,71.630
1047,1046,57023616,82.280
1131,1130,66538128,102.370
1197,1196,74528616,122.280
1299,1298,87768624,164.660
1213,1212,76533928,127.480
1317,1316,90217416,177.340
1331,1330,92145328,167.700
1415,1414,104140864,206.190
1477,1476,113465416,243.420
1563,1562,127061328,282.480
1565,1564,127386664,275.030
1679,1678,146618464,359.720
1623,1622,137002368,313.940
1749,1748,159097224,402.390
1763,1762,161654128,437.090
